Player,height,weight,collage,born,birth_city,birth_state,Num_of_Seasons,Num_of_Pos,Avg_Age,Num_of_Tms,Avg_Games,Avg_GS,Avg_MP,Avg_PER,Avg_TS%,Avg_3PAr,Avg_FTr,Avg_ORB%,Avg_DRB%,Avg_TRB%,Avg_AST%,Avg_STL%,Avg_BLK%,Avg_TOV%,Avg_USG%,Avg_OWS,Avg_DWS,Avg_WS,Avg_WS/48,Avg_OBPM,Avg_DBPM,Avg_BMP,Avg_VORP,Avg_FG,Avg_FGA,Avg_FG%,Avg_3P,Avg_3PA,Avg_3P%,Avg_2P,Avg_2PA,Avg_2P%,Avg_eFG%,Avg_FT,Avg_FTA,Avg_FT%,Avg_ORB,Avg_DRB,Avg_TRB,Avg_AST,Avg_STL,Avg_BLK,Avg_TOV,Avg_PF,Avg_PTS
"Al Bianchi",190,83,"Bowling Green State University",1932,"Long Island City","New York",10,2,28.50,2,68.70,,1364.90,9.43,0.42,,0.27,,,,15.20,,,,,-0.42,1.23,0.83,0.02,,,,,221.20,591.90,0.37,,,,221.20,591.90,0.37,0.37,112.60,159.20,0.71,,,172.20,149.70,,,,206.90,555.00
"Al Butler",188,79,"Niagara University",1938,Rochester,"New York",3,1,23.60,3,53.60,,1379.80,14.02,0.49,,0.25,,,,,,,,,1.48,0.80,2.28,0.10,,,,,251.00,560.00,0.45,,,,251.00,560.00,0.45,0.45,108.00,147.60,0.75,,,202.40,144.60,,,,124.80,610.00
"Al Cervi*",180,77,,1917,Buffalo,"New York",1,1,34.00,1,55.00,,850.00,21.90,0.54,,0.89,,,,,,,,,4.10,1.20,5.30,0.30,,,,,99.00,280.00,0.35,,,,99.00,280.00,0.35,0.35,219.00,248.00,0.88,,,87.00,148.00,,,,176.00,417.00
"Al Eberhard",198,102,"University of Missouri",1952,"Cedar Rapids",Iowa,3,1,24.00,1,62.00,,1287.00,11.07,0.50,,0.36,6.73,12.27,9.50,5.43,1.50,0.47,11.00,13.90,0.90,0.87,1.77,0.07,-1.63,-0.90,-2.50,-0.07,178.33,407.67,0.44,,,,178.33,407.67,0.44,0.44,113.67,142.67,0.77,84.00,153.67,237.67,53.00,48.33,11.33,23.00,170.33,470.33
"Al Ferrari",193,86,"Michigan State University",1933,"New York","New York",5,2,25.60,1,70.60,,1488.80,9.50,0.44,,0.42,,,,,,,,,0.72,1.08,1.78,0.06,,,,,173.20,470.40,0.37,,,,173.20,470.40,0.37,0.37,151.00,199.00,0.76,,,163.60,185.80,,,,197.40,497.40
"Al Harrington",206,104,,1980,Orange,"New Jersey",14,3,25.89,7,61.17,32.17,1824.39,13.78,0.52,0.26,0.26,5.93,15.88,10.86,9.51,1.57,0.61,12.67,22.97,1.21,1.61,2.83,0.07,-0.44,-1.08,-1.52,0.40,334.28,750.00,0.44,70.39,194.78,0.33,263.89,555.22,0.47,0.49,144.11,197.11,0.72,95.50,258.22,353.72,104.72,55.72,16.06,119.44,195.61,883.06
"Al Horford",208,111,"University of Florida",1986,"Puerto Plata","Dominican Republic",9,1,25.56,2,70.56,70.11,2354.11,19.12,0.57,0.07,0.22,7.88,21.94,14.98,15.32,1.30,2.93,11.49,19.87,4.31,3.37,7.70,0.15,0.76,2.23,2.97,2.98,429.56,813.78,0.53,21.67,62.44,0.37,407.89,751.33,0.54,0.54,130.78,174.78,0.75,160.67,453.89,614.56,211.33,58.22,85.56,112.78,168.44,1011.56
"Al Jefferson",208,131,,1985,Monticello,Mississippi,13,2,26.00,6,67.62,50.00,1985.77,20.05,0.53,0.01,0.24,9.10,24.75,16.83,9.45,1.23,3.18,8.41,25.15,2.80,2.53,5.34,0.13,-0.55,0.40,-0.17,1.13,465.38,933.54,0.50,0.62,4.85,0.09,464.77,928.69,0.50,0.50,152.54,215.15,0.70,155.69,424.85,580.54,101.31,47.08,82.31,91.54,175.46,1083.92
"Al Masino",178,78,"Canisius College",1928,,,1,1,24.00,1,72.00,,1773.00,8.50,0.40,,0.51,,,,,,,,,0.00,2.20,2.20,0.06,,,,,134.00,400.00,0.34,,,,134.00,400.00,0.34,0.34,128.00,204.00,0.63,,,177.00,160.00,,,,252.00,396.00
"Al Roges",193,88,"Long Island University",1930,,,1,1,23.00,1,67.00,,1937.00,10.60,0.41,,0.29,,,,,,,,,0.30,0.50,0.70,0.02,,,,,220.00,614.00,0.36,,,,220.00,614.00,0.36,0.36,130.00,179.00,0.73,,,213.00,160.00,,,,177.00,570.00
"Al Skinner",190,86,"University of Massachusetts Amherst",1952,"Mount Vernon","New York",3,1,25.29,5,46.14,,949.14,12.29,0.52,,0.45,4.53,10.67,7.54,16.67,2.30,0.60,21.48,19.22,0.33,0.99,1.31,0.07,-1.46,0.04,-1.41,0.26,144.00,327.29,0.43,,,,144.00,327.29,0.43,0.43,107.57,132.29,0.83,42.86,97.57,140.43,108.43,44.71,14.14,77.67,141.57,395.57
"Al Thornton",203,99,"Florida State University",1983,Perry,Georgia,4,3,26.00,4,55.25,29.50,1467.00,11.95,0.52,0.07,0.32,5.21,12.40,8.72,7.11,1.20,1.15,11.65,19.80,0.51,0.73,1.25,0.04,-2.42,-1.32,-3.75,-0.55,236.63,517.00,0.47,11.63,40.38,0.25,225.00,476.63,0.48,0.47,122.00,163.38,0.75,70.50,147.00,217.50,63.13,33.13,24.88,73.75,140.00,606.88
"Al Tucker",203,86,"Oklahoma Baptist University",1943,Dayton,Ohio,3,1,25.29,5,53.00,,1110.86,12.90,0.52,,0.31,,,,5.61,,,,,0.94,0.63,1.57,0.09,,,,,207.29,453.86,0.48,,,,207.29,453.86,0.48,0.48,91.71,132.14,0.73,,,259.29,47.86,,,,115.14,506.29
"Al Wood",198,87,"University of North Carolina",1958,Gray,Georgia,6,2,24.88,5,58.13,31.38,1358.63,13.22,0.50,0.05,0.29,6.04,9.90,7.93,9.93,1.55,0.80,11.19,22.56,1.14,0.91,2.01,0.06,-1.06,-1.62,-2.68,0.01,269.88,579.38,0.45,5.38,26.75,0.17,264.50,552.63,0.46,0.45,124.38,157.75,0.78,63.75,110.75,174.50,100.00,42.63,21.00,80.00,131.50,669.50
"Al-Farouq Aminu",206,99,"Wake Forest University",1990,Atlanta,Georgia,7,1,23.00,5,74.29,40.14,1788.57,12.21,0.51,0.27,0.29,6.77,20.03,13.36,7.51,2.09,2.06,15.44,15.70,0.51,1.96,2.50,0.07,-1.81,1.41,-0.39,0.74,199.71,468.71,0.43,43.57,134.57,0.29,156.14,334.14,0.46,0.47,95.00,131.00,0.73,103.86,317.29,421.14,91.29,70.57,43.86,95.29,138.14,538.00
"Alaa Abdelnaby",208,108,"Duke University",1968,Cairo,Egypt,3,1,24.71,6,47.00,15.00,652.57,9.46,0.47,0.01,0.19,9.89,18.53,14.23,4.24,1.16,1.26,17.61,22.46,0.17,0.80,0.96,-0.01,-5.77,-2.20,-7.97,-0.44,129.14,252.71,0.45,0.00,0.86,0.00,129.14,251.86,0.45,0.45,41.71,57.57,0.69,58.14,107.86,166.00,15.71,15.00,13.14,50.00,102.57,300.00
"Alan Anderson",198,99,"Michigan State University",1982,Minneapolis,Minnesota,4,2,29.00,3,63.25,13.50,1394.00,10.78,0.53,0.44,0.23,2.95,9.93,6.40,8.88,1.45,0.42,11.45,17.97,0.88,0.78,1.60,0.05,-0.57,-1.52,-2.10,0.07,175.00,430.50,0.41,69.00,200.25,0.36,106.00,230.25,0.46,0.49,83.25,101.75,0.81,32.00,117.25,149.25,74.75,40.75,6.75,58.50,118.50,502.25
"Alan Henderson",206,106,"Indiana University",1972,Indianapolis,Indiana,9,3,27.56,3,64.67,23.78,1430.22,14.19,0.51,0.00,0.43,12.21,15.54,13.89,5.06,1.44,1.52,13.30,18.40,1.50,1.36,2.84,0.10,-1.38,-0.43,-1.79,0.09,207.11,445.67,0.47,0.44,2.78,0.09,206.67,442.89,0.48,0.47,119.56,186.67,0.63,148.44,187.56,336.00,41.56,38.11,29.78,75.67,148.11,534.22
"Albert King",198,86,"University of Maryland",1959,Brooklyn,"New York",8,1,25.50,3,66.00,40.75,1597.13,12.84,0.50,0.04,0.21,6.63,13.24,9.88,13.14,1.65,0.86,15.04,23.40,0.23,1.80,2.04,0.05,-1.56,-0.39,-1.92,0.22,337.25,730.63,0.46,6.75,25.25,0.23,330.50,705.38,0.46,0.46,123.63,156.38,0.79,94.88,186.50,281.38,145.75,56.13,24.50,143.63,200.63,804.88
"Alec Burks",198,97,"University of Colorado",1991,Grandview,Missouri,6,1,22.50,1,50.17,7.00,1103.00,13.37,0.52,0.22,0.39,3.62,12.43,8.05,12.67,1.40,0.53,12.20,22.75,0.95,0.67,1.62,0.07,-0.95,-1.47,-2.45,-0.03,175.50,409.67,0.42,30.17,83.83,0.36,145.33,325.83,0.44,0.46,124.50,165.50,0.76,34.17,112.00,146.17,89.00,30.67,7.67,68.67,95.50,505.67
"Alec Kessler",211,104,"University of Georgia",1967,Minneapolis,Minnesota,2,2,24.50,1,77.50,11.00,1228.00,9.30,0.47,0.00,0.29,10.25,19.45,14.75,3.90,0.70,1.45,14.40,18.85,-0.55,1.05,0.55,0.02,-4.85,-1.80,-6.65,-1.45,178.50,425.50,0.42,0.00,2.00,0.00,178.50,423.50,0.42,0.42,91.00,123.00,0.74,114.50,210.50,325.00,32.50,17.00,29.00,83.00,187.00,448.00
"Alex English*",201,86,"University of South Carolina",1954,Columbia,"South Carolina",15,1,29.53,5,74.76,75.30,2380.24,19.11,0.54,0.00,0.24,8.15,11.54,9.81,15.81,1.28,1.21,11.74,25.80,4.75,1.47,6.23,0.12,2.38,-1.20,1.18,2.20,659.53,1302.88,0.50,1.43,6.36,0.23,658.35,1297.65,0.50,0.50,263.94,318.06,0.82,179.24,240.94,420.18,269.12,67.06,52.65,189.69,190.18,1584.18
"Alex Hannum*",201,95,"University of Southern California",1923,"Los Angeles",California,6,2,30.50,4,64.83,,1285.50,8.98,0.39,,0.31,,,,,,,,,-0.77,1.92,1.15,0.04,,,,,137.17,393.17,0.35,,,,137.17,393.17,0.35,0.35,79.83,125.33,0.64,,,285.33,101.50,,,,236.67,354.17
